PID,Name,Path
212,WINTRUST.dll,C:\WINDOWS\system32\WINTRUST.dll
212,CRYPT32.dll,C:\WINDOWS\system32\CRYPT32.dll
212,MSASN1.dll,C:\WINDOWS\system32\MSASN1.dll
212,IMAGEHLP.dll,C:\WINDOWS\system32\IMAGEHLP.dll
212,msv1_0.dll,C:\WINDOWS\system32\msv1_0.dll
212,cryptdll.dll,C:\WINDOWS\system32\cryptdll.dll
212,iphlpapi.dll,C:\WINDOWS\system32\iphlpapi.dll
212,WS2_32.dll,C:\WINDOWS\system32\WS2_32.dll
212,WS2HELP.dll,C:\WINDOWS\system32\WS2HELP.dll
380,vmtoolsd.exe,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe
380,ntdll.dll,C:\WINDOWS\system32\ntdll.dll
380,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
380,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
380,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
380,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
380,ole32.dll,C:\WINDOWS\system32\ole32.dll
380,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
380,USER32.dll,C:\WINDOWS\system32\USER32.dll
380,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
380,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
380,MSVCR90.dll,C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.4148_x-ww_d495ac4e\MSVCR90.dll
380,intl.dll,C:\Program Files\VMware\VMware Tools\intl.dll
380,iconv.dll,C:\Program Files\VMware\VMware Tools\iconv.dll
380,glib-2.0.dll,C:\Program Files\VMware\VMware Tools\glib-2.0.dll
380,WS2_32.dll,C:\WINDOWS\system32\WS2_32.dll
380,WS2HELP.dll,C:\WINDOWS\system32\WS2HELP.dll
380,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
380,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
380,gmodule-2.0.dll,C:\Program Files\VMware\VMware Tools\gmodule-2.0.dll
380,gobject-2.0.dll,C:\Program Files\VMware\VMware Tools\gobject-2.0.dll
380,gthread-2.0.dll,C:\Program Files\VMware\VMware Tools\gthread-2.0.dll
380,vmtools.dll,C:\Program Files\VMware\VMware Tools\vmtools.dll
380,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
380,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
380,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
380,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
380,IpHlpApi.dll,C:\WINDOWS\system32\IpHlpApi.dll
380,NTMARTA.DLL,C:\WINDOWS\system32\NTMARTA.DLL
380,SAMLIB.dll,C:\WINDOWS\system32\SAMLIB.dll
380,WLDAP32.dll,C:\WINDOWS\system32\WLDAP32.dll
380,hgfsServer.dll,C:\Program Files\VMware\VMware Tools\plugins\common\hgfsServer.dll
380,hgfs.dll,C:\Program Files\VMware\VMware Tools\hgfs.dll
380,MPR.dll,C:\WINDOWS\system32\MPR.dll
380,hgfsUsability.dll,C:\Program Files\VMware\VMware Tools\plugins\common\hgfsUsability.dll
380,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
380,vix.dll,C:\Program Files\VMware\VMware Tools\plugins\common\vix.dll
380,autoLogon.dll,C:\Program Files\VMware\VMware Tools\plugins\vmsvc\autoLogon.dll
380,MSVCP90.dll,C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.4148_x-ww_d495ac4e\MSVCP90.dll
