0 fffffa80028b06e0		 (---)  (File)	 \Boot\BCD 
0 fffffa80024a3d70		 (---)  (File)	 \hiberfil.sys 
0 fffffa8004527c20		 (---)  (File)	   
0 fffffa8002ace6b0		 (---)  (File)	 \Boot\BCD.LOG 
0 fffffa80018f57a0		 (---)  (File)	   
0 fffffa80045348d0		 (---)  (File)	   
0 fffffa80018e7f20		 (---)  (File)	   
0 fffffa80018c4be0		 (---)  (File)	   
0 fffffa80045689f0		 (---)  (File)	   
0 fffffa80018d2f20		 (---)  (File)	   
0 fffffa8004589890		 (-W-)  (File)	 \pagefile.sys 
0 fffffa80018ee050		 (---)  (File)	   
0 fffffa80018cb830		 (---)  (File)	   
0 fffffa800190a050		 (---)  (File)	   
0 fffffa80018bd520		 (---)  (File)	   
0 fffffa80018bd270		 (---)  (File)	   
0 fffffa80018d9280		 (---)  (File)	   
0 fffffa80018d2970		 (---)  (File)	   
0 fffffa80018d99b0		 (---)  (File)	   
0 fffffa80018ee490		 (---)  (File)	   
0 fffffa80018c4300		 (---)  (File)	   
0 fffffa80045eb990		 (---)  (File)	   
0 fffffa80018cb480		 (---)  (File)	   
0 fffffa80018b7e20		 (---)  (File)	   
0 fffffa80043131c0		 (---)  (File)	   
0 fffffa80029a8af0		 (---)  (File)	   
0 fffffa80045eee50		 (---)  (File)	   
0 fffffa80045eae50		 (---)  (File)	   
0 fffffa80045eff20		 (---)  (File)	   
0 fffffa80045f0f20		 (---)  (File)	   
0 fffffa80045f0890		 (---)  (File)	   
0 fffffa80045f1920		 (---)  (File)	   
0 fffffa80045f29c0		 (---)  (File)	   
0 fffffa80045f3a50		 (---)  (File)	   
0 fffffa80045f4af0		 (---)  (File)	   
0 fffffa80045f5bb0		 (---)  (File)	   
0 fffffa80045f6c50		 (---)  (File)	   
0 fffffa80045f7ce0		 (---)  (File)	   
0 fffffa80045f8d80		 (---)  (File)	   
0 fffffa80045f9d80		 (---)  (File)	   
0 fffffa80045fae50		 (---)  (File)	   
0 fffffa80045fbe50		 (---)  (File)	   
0 fffffa80045fcf20		 (---)  (File)	   
0 fffffa80045fdf20		 (---)  (File)	   
0 fffffa80045fd890		 (---)  (File)	   
0 fffffa80045fe920		 (---)  (File)	   
0 fffffa80045ff9c0		 (---)  (File)	   
0 fffffa8004600a50		 (---)  (File)	   
0 fffffa8004601af0		 (---)  (File)	   
0 fffffa8004602bb0		 (---)  (File)	   
0 fffffa8004603c50		 (---)  (File)	   
0 fffffa8004604ce0		 (---)  (File)	   
0 fffffa8004605d80		 (---)  (File)	   
0 fffffa8004606d80		 (---)  (File)	   
0 fffffa8004607e50		 (---)  (File)	   
0 fffffa8004608e50		 (---)  (File)	   
0 fffffa8004609f20		 (---)  (File)	   
0 fffffa800460af20		 (---)  (File)	   
0 fffffa800460a890		 (---)  (File)	   
