PID,Name,Path
696,wdigest.dll,C:\WINDOWS\system32\wdigest.dll
696,rsaenh.dll,C:\WINDOWS\system32\rsaenh.dll
696,setupapi.dll,C:\WINDOWS\system32\setupapi.dll
696,scecli.dll,C:\WINDOWS\system32\scecli.dll
696,ipsecsvc.dll,C:\WINDOWS\system32\ipsecsvc.dll
696,AUTHZ.dll,C:\WINDOWS\system32\AUTHZ.dll
696,oakley.DLL,C:\WINDOWS\system32\oakley.DLL
696,WINIPSEC.DLL,C:\WINDOWS\system32\WINIPSEC.DLL
696,mswsock.dll,C:\WINDOWS\system32\mswsock.dll
696,hnetcfg.dll,C:\WINDOWS\system32\hnetcfg.dll
696,wshtcpip.dll,C:\WINDOWS\System32\wshtcpip.dll
696,pstorsvc.dll,C:\WINDOWS\system32\pstorsvc.dll
696,psbase.dll,C:\WINDOWS\system32\psbase.dll
696,dssenh.dll,C:\WINDOWS\system32\dssenh.dll
1096,svchost.exe,C:\WINDOWS\System32\svchost.exe
1096,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
1096,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
1096,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
1096,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
1096,ShimEng.dll,C:\WINDOWS\System32\ShimEng.dll
1096,AcGenral.DLL,C:\WINDOWS\AppPatch\AcGenral.DLL
1096,USER32.dll,C:\WINDOWS\system32\USER32.dll
1096,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
1096,WINMM.dll,C:\WINDOWS\System32\WINMM.dll
1096,ole32.dll,C:\WINDOWS\system32\ole32.dll
1096,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
1096,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
1096,MSACM32.dll,C:\WINDOWS\System32\MSACM32.dll
1096,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
1096,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
1096,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
1096,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
1096,UxTheme.dll,C:\WINDOWS\System32\UxTheme.dll
1096,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
1096,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
1096,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
1096,NTMARTA.DLL,C:\WINDOWS\System32\NTMARTA.DLL
1096,SAMLIB.dll,C:\WINDOWS\System32\SAMLIB.dll
1096,WLDAP32.dll,C:\WINDOWS\system32\WLDAP32.dll
1096,xpsp2res.dll,C:\WINDOWS\System32\xpsp2res.dll
1096,shsvcs.dll,c:\windows\system32\shsvcs.dll
