PID,Name,Path
216,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
216,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
216,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
216,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
216,UxTheme.dll,C:\WINDOWS\system32\UxTheme.dll
216,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
216,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
216,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
216,bthserv.dll,c:\windows\system32\bthserv.dll
216,SETUPAPI.dll,c:\windows\system32\SETUPAPI.dll
216,WINTRUST.dll,C:\WINDOWS\system32\WINTRUST.dll
216,CRYPT32.dll,C:\WINDOWS\system32\CRYPT32.dll
216,MSASN1.dll,C:\WINDOWS\system32\MSASN1.dll
216,IMAGEHLP.dll,C:\WINDOWS\system32\IMAGEHLP.dll
216,msv1_0.dll,C:\WINDOWS\system32\msv1_0.dll
216,cryptdll.dll,C:\WINDOWS\system32\cryptdll.dll
216,iphlpapi.dll,C:\WINDOWS\system32\iphlpapi.dll
216,WS2_32.dll,C:\WINDOWS\system32\WS2_32.dll
216,WS2HELP.dll,C:\WINDOWS\system32\WS2HELP.dll
468,vmtoolsd.exe,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe
468,ntdll.dll,C:\WINDOWS\system32\ntdll.dll
468,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
468,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
468,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
468,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
468,ole32.dll,C:\WINDOWS\system32\ole32.dll
468,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
468,USER32.dll,C:\WINDOWS\system32\USER32.dll
468,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
468,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
468,MSVCR90.dll,C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.4148_x-ww_d495ac4e\MSVCR90.dll
468,intl.dll,C:\Program Files\VMware\VMware Tools\intl.dll
468,iconv.dll,C:\Program Files\VMware\VMware Tools\iconv.dll
468,glib-2.0.dll,C:\Program Files\VMware\VMware Tools\glib-2.0.dll
468,WS2_32.dll,C:\WINDOWS\system32\WS2_32.dll
468,WS2HELP.dll,C:\WINDOWS\system32\WS2HELP.dll
468,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
468,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
468,gmodule-2.0.dll,C:\Program Files\VMware\VMware Tools\gmodule-2.0.dll
468,gobject-2.0.dll,C:\Program Files\VMware\VMware Tools\gobject-2.0.dll
468,gthread-2.0.dll,C:\Program Files\VMware\VMware Tools\gthread-2.0.dll
468,vmtools.dll,C:\Program Files\VMware\VMware Tools\vmtools.dll
